stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,in,type
EDRG2,EDRG2,ESTÁDIO DO DRAGÃO,,41.1614722272002,-8.58186114728745,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=EDRG2,True,bus
PCRJ1,PCRJ1,PR. DA CORUJEIRA,,41.1569193474662,-8.5798649539462,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=PCRJ1,True,bus
BCM1,BCM1,BOAVISTA-CASA DA MÚSICA,,41.1589030350552,-8.62954202333796,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=BCM1,True,bus
ABSS1,ABSS1,AV. DO BESSA,,41.1652793149154,-8.64309026465875,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ABSS1,True,bus
ABSS2,ABSS2,AV. DO BESSA,,41.1650355311356,-8.64313960565853,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ABSS2,True,bus
RCP1,RCP1,R. CERCO DO PORTO,,41.164444389681,-8.56727780703448,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RCP1,True,bus
RCP2,RCP2,R. CERCO DO PORTO,,41.1648333137464,-8.56738892869389,PRT3,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=RCP2,True,bus
SOCR,SOCR,SOARES CORREIA,,41.1667832502617,-8.62998746296401,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=SOCR,True,bus
ALFG5,ALFG5,ALFÂNDEGA,,41.1437512039268,-8.6222320395788,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=ALFG5,True,bus
FTNH2,FTNH2,FONTINHA,,41.1555623187911,-8.60475772390974,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=FTNH2,True,bus
CORD2,CORD2,CORDOARIA,,41.1450298042004,-8.61642417009534,PRT1,http://www.stcp.pt/pt/viajar/paragens/?t=detalhe&paragem=CORD2,True,bus
